DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-01,5637087.31,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-02,6615235.57,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-03,6465861.62,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-04,6048103.52,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-05,6541673.86,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-06,8066714.54,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-07,5862388.74,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-08,6098438.13,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-09,6148805.06,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-10,5286201.61,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-11,4983663.79,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,1999-12,4026651.93,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,2000-01,4344958.66,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,2000-02,5222547.92,
ESTAT:DS-045409(1.0),17/12/24 11:00:00,M,HU,EU27_2020_EXTRA,27112100,1,QUANTITY_IN_100KG,2000-03,4784756.72,
